matiere,annee,titre,lien_pdf,lien_page
Francais,2025,PHILOSOPHIE-COLLEGE MONGO BETI-SEQUENCE 3-PCD-DECEMBRE 2025,https://sujetexa.com/wp-content/uploads/2025/12/no12_24_dec_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/12/24/philosophie-college-mongo-beti-sequence-3-pcd-decembre-2025/
Francais,2025,LANGUE FRANÇAISE-COLLEGE MONGO BETI-SEQUENCE 3-PCD-DECEMBRE 2025,https://sujetexa.com/wp-content/uploads/2025/12/no11_24_dec_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/12/24/langue-francaise-college-mongo-beti-sequence-3-pcd-decembre-2025/
Francais,2025,LITTERATURE OU CULTURE GENERALE-COLLEGE BILINGUE LOG MBEI-SEQUENCE 2-CLASSE DE PACD-NOVEMBRE 2025,https://sujetexa.com/wp-content/uploads/2025/12/litterature-francaise-PACD-2e-seq.pdf,https://sujetexa.com/index.php/2025/12/13/litterature-ou-culture-generale-college-bilingue-log-mbei-sequence-2-classe-de-pacd-novembre-2025/
Francais,2025,PHILOSOPHIE-COLLEGE PRIVÉ BILlNGUE MONTESQUIEU-SEQUENCE 2-PCD-NOV 2025,https://sujetexa.com/wp-content/uploads/2025/12/no28_02_dec_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/12/03/philosophie-college-prive-billngue-montesquieu-sequence-2-pcd-nov-2025/
Francais,2025,LITTERATURE-COLLEGE PRIVE LAïC MONGO BETI-SEQUENCE 2-PCD-NOVEMBRE 2025,https://sujetexa.com/wp-content/uploads/2025/11/no30_14_nov_2025_sujetexa.com_-1.pdf,https://sujetexa.com/index.php/2025/11/21/litterature-college-prive-laic-mongo-beti-sequence-2-pcd-novembre-2025/
Francais,2025,PHILOSOPHIE-COLLEGE PRIVE LAïC MONGO BETI-SEQUENCE 2-PCD-NOVEMBRE 2025,https://sujetexa.com/wp-content/uploads/2025/11/no29_14_nov_2025_sujetexa.com_-1.pdf,https://sujetexa.com/index.php/2025/11/21/philosophie-college-prive-laic-mongo-beti-sequence-2-pcd-novembre-2025/
Francais,2025,LANGUE FRANÇAISE-COLLEGE PRIVE LAïC MONGO BETI-SEQUENCE 2-PCD-NOVEMBRE 2025,https://sujetexa.com/wp-content/uploads/2025/11/no27_14_nov_2025_sujetexa.com_-1.pdf,https://sujetexa.com/index.php/2025/11/21/langue-francaise-college-prive-laic-mongo-beti-sequence-2-pcd-novembre-2025/
Francais,2025,LANGUE FRANÇAISE-COLLÈGE PRIVE BILINGUE MONTESQUIEU-SEQUENCE 1-PCD-OCTOBRE 2025,https://sujetexa.com/wp-content/uploads/2025/11/no37_01_nov_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/11/13/langue-francaise-college-prive-bilingue-montesquieu-sequence-1-pcd-octobre-2025/
Francais,2025,PHILOSOPHIE-COLLÈGE PRIVE BILINGUE MONTESQUIEU-SEQUENCE 1-PCD-OCTOBRE 2025,https://sujetexa.com/wp-content/uploads/2025/10/no20_19_oct_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/10/25/philosophie-college-prive-bilingue-montesquieu-sequence-1-pcd-octobre-2025/
Francais,2025,PHILOSOPHIE-COLLEGE LA PREVOYANCE-SEQUENCE 1-OCTOBRE 2025-CLASSE DE PCD,https://sujetexa.com/wp-content/uploads/2025/10/Philosophie-1ere-CD-DSN°1-oct-2025.pdf,https://sujetexa.com/index.php/2025/10/20/philosophie-college-la-prevoyance-sequence-1-octobre-2025-classe-de-pcd/
Francais,2025,LITTERATURE-COLLEGE LA PREVOYANCE-SEQUENCE 1-OCTOBRE 2025-CLASSE DE PACD,https://sujetexa.com/wp-content/uploads/2025/10/Litterature-1ere-ACD-DSN°1-oct-2025.pdf,https://sujetexa.com/index.php/2025/10/20/litterature-college-la-prevoyance-sequence-1-octobre-2025-classe-de-pacd/
Francais,2025,FRANÇAIS-COLLEGE LA PREVOYANCE-SEQUENCE 1-OCTOBRE 2025-CLASSE DE PACD,,https://sujetexa.com/index.php/2025/10/20/francais-college-la-prevoyance-sequence-1-octobre-2025-classe-de-pacd/
Francais,2025,LANGUE FRANÇAISE-COLLEGE PRIVE MONGO BETI-SEQUENCE 1-PCD-OCTOBRE 2025,https://sujetexa.com/wp-content/uploads/2025/10/no21_15_oct_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/10/15/langue-francaise-college-prive-mongo-beti-sequence-1-pcd-octobre-2025/
