matiere,annee,titre,lien_pdf,lien_page
Francais,2019,littérature collège de la retraite première C D seq4- 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_la_retraite_PC-PD-PTI_littérature_probat_blanc_fev_2019.pdf,https://sujetexa.com/index.php/2020/01/30/litterature-college-de-la-retraite-premiere-c-d-seq4-2019/
Francais,2019,littérature ou culture générale  lycée bilingue de Yaoundé probatoire blanc série A C D 2019,https://sujetexa.com/wp-content/uploads/2020/01/lyby_littérature_PA-PC-PD-PE-PTI_seq4.pdf,https://sujetexa.com/index.php/2020/01/25/litterature-ou-culture-generale-lycee-bilingue-de-yaounde-probatoire-blanc-serie-a-c-d-2019/
Francais,2019,littérature collège vogt première C D mini session février 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_vogt_littérature_seq4_PC-PD-PTI_2019.pdf,https://sujetexa.com/index.php/2020/01/25/litterature-college-vogt-premiere-c-d-mini-session-fevrier-2019/
Francais,2019,langue française collège vogt première C D 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_vogt_langue_seq3_PC-PD-PTI_2019.pdf,https://sujetexa.com/index.php/2020/01/25/langue-francaise-college-vogt-premiere-c-d-2019/
Anglais,2019,ANGLAIS PROBATOIRE A C D TI-2019,https://sujetexa.com/wp-content/uploads/2020/06/Anglais-probatoire-A-C-D-TI-session-2019.pdf,https://sujetexa.com/index.php/2020/06/21/anglais-probatoire-a-c-d-ti-2019/
Anglais,2019,anglais collège de la retraite première A C D mini session N°4 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_la_retraite_PA-PC-PD_anglais_probat_blanc_fev_2019.pdf,https://sujetexa.com/index.php/2020/01/30/anglais-college-de-la-retraite-premiere-a-c-d-mini-session-n4-2019/
Chimie,2019,chimie collège de la retraite probatoire blanc série C D N°1- 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_la_retraite_PC-PD_chimie_probat_blanc_fev_2019.pdf,https://sujetexa.com/index.php/2020/01/30/chimie-college-de-la-retraite-probatoire-blanc-serie-c-d-n1-2019/
Chimie,2019,chimie collège vogt première C D contrôle 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_vogt_chimie_seq4_PC-PD_2019.pdf,https://sujetexa.com/index.php/2020/01/24/chimie-college-vogt-premiere-c-d-controle-2019/
Chimie,2019,chimie collège vogt première C D mini session février 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_vogt_chimie_mini-sess_seq4_PC_2019.pdf,https://sujetexa.com/index.php/2020/01/24/chimie-college-vogt-premiere-c-d-mini-session-fevrier-2019/
Chimie,2019,CHIMIE collège vogt probatoire blanc série C D mai 2019,https://sujetexa.com/wp-content/uploads/2020/01/chimie_vogt_Mai_2018.pdf,https://sujetexa.com/index.php/2020/01/24/chimie-college-vogt-probatoire-blanc-serie-c-d-mai-2019/
Chimie,2019,chimie probatoire C D 2019,https://sujetexa.com/wp-content/uploads/2020/01/probatACD_2019_chimie.pdf,https://sujetexa.com/index.php/2020/01/20/chimie-probatoire-c-d/
Geographie,2019,géographie collège de la retraite première A C D seq4 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_la_retraite_PA-PC-PD_géographie_probat_blanc_fev_2019.pdf,https://sujetexa.com/index.php/2020/01/30/geographie-college-de-la-retraite-premiere-a-c-d-seq4-2019/
Geographie,2019,géographie lycée bilingue de Yaoundé première A C D seq5 2019,https://sujetexa.com/wp-content/uploads/2020/01/lyby_géographie_PA-PC-PD-PTI_seq4.pdf,https://sujetexa.com/index.php/2020/01/25/geographie-lycee-bilingue-de-yaounde-premiere-a-c-d-seq5-2019/
Physique,2019,physique collège de la retraite première C mini session N°4-2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_la_retraite_PC_physique_probat_blanc_fev_2019.pdf,https://sujetexa.com/index.php/2020/01/30/physique-college-de-la-retraite-premiere-c-mini-session-n4-2019/
Physique,2019,physique collège vogt première C  mini session janvier 2019,https://sujetexa.com/wp-content/uploads/2020/01/coll_vogt_physique_seq3_PC_2019.pdf,https://sujetexa.com/index.php/2020/01/25/physique-college-vogt-premiere-c-mini-session-janvier-2019/
