niveau,serie,matiere,annee,lien_drive,corrige_dispo,source,type_sujet
BAC,A4,Litterature,2015,https://drive.google.com/file/d/1GSVJDj2PUU2KIbOZxvA1a2BNl5zOyz_5/preview,0,inconnu,officiel
BAC,A4,Litterature,2023,https://drive.google.com/file/d/15s7dCO5n9O1Zkue5nJRrd0LjBKhvIABW/preview,0,inconnu,officiel
BAC,A4,Litterature,2022,https://drive.google.com/file/d/1MDgyoJVtnBLLGw0L0OMOf6GEoxJqUlR7/preview,0,inconnu,officiel
BAC,A4,Litterature,2025,https://drive.google.com/file/d/1eQJF5x7TVKWneXU0gSNPLguUTlILtkM3/preview,0,inconnu,officiel
BAC,A4,Litterature,2024,https://drive.google.com/file/d/16PaCu5gXaxvH2wPT12-dxdupr603i4GR/preview,0,inconnu,officiel
BAC,A4,Litterature,2020,https://drive.google.com/file/d/1P6uDhkGJe8Cc_eHrm38GNPT6qYn5U7nC/preview,0,inconnu,officiel
BAC,A4,Litterature,2017,https://drive.google.com/file/d/1dGXH5bClUJwc-5wBnTQ9xZZTZnzfMQtc/preview,0,inconnu,officiel
BAC,A4,Litterature,2019,https://drive.google.com/file/d/15EOlAQjYGBE94TfeJM-__2VfDSiX9iq1/preview,0,inconnu,officiel
BAC,A4,Litterature,2021,https://drive.google.com/file/d/1QGrt4zgsxfXwxu-I6DwTbaiYnSNmDO6_/preview,0,inconnu,officiel
